DU2076 Bonus Cap Certificate — N=200-Step Binomial Tree
Date      : 2025-09-04
S0        : 1707.93 EUR
K (cap)   : 2000.00 EUR
B (barrier): 1050.00 EUR
sigma     : 0.3898  (38.98% p.a.)
r         : 0.0334  (3.34% p.a.)
T         : 1.7851 years
dt        : 0.008925 years
u         : 1.037515
d         : 0.963842
q (risk-neutral prob): 0.494186
Total nodes: 20,301
======================================================================
  Step  UpMoves      S(n,j) EUR   V_cert(n,j) EUR  Status
    16       10       1979.0025         1685.4069  alive
    16       11       2130.2704         1731.2938  alive
    16       12       2293.1007         1769.3675  alive
    16       13       2468.3771         1800.2618  alive
    16       14       2657.0510         1824.7775  alive
    16       15       2860.1465         1843.8021  alive
    16       16       3078.7658         1858.2393  alive
    17        0        913.2051          885.8178  KNOCKED OUT
    17        1        983.0072          946.4582  KNOCKED OUT
    17        2       1058.1448         1022.6018  alive
    17        3       1139.0256         1114.0070  alive
    17        4       1226.0886         1205.6659  alive
    17        5       1319.8064         1295.5490  alive
    17        6       1420.6877         1381.7368  alive
    17        7       1529.2800         1462.5464  alive
    17        8       1646.1727         1536.6308  alive
    17        9       1772.0002         1603.0418  alive
    17       10       1907.4456         1661.2532  alive
    17       11       2053.2439         1711.1458  alive
    17       12       2210.1865         1752.9604  alive
    17       13       2379.1253         1787.2281  alive
    17       14       2560.9771         1814.6883  alive
    17       15       2756.7290         1836.2050  alive
    17       16       2967.4435         1852.6903  alive
    17       17       3194.2643         1865.0398  alive
    18        0        880.1853          856.6868  KNOCKED OUT
    18        1        947.4636          916.1685  KNOCKED OUT
    18        2       1019.8843          978.0316  KNOCKED OUT
    18        3       1097.8406         1068.8376  alive
    18        4       1181.7556         1160.9111  alive
    18        5       1272.0848         1252.2010  alive
    18        6       1369.3184         1340.6985  alive
    18        7       1473.9842         1424.5743  alive
    18        8       1586.6502         1502.2943  alive
    18        9       1707.9281         1572.7022  alive
    18       10       1838.4760         1635.0623  alive
    18       11       1979.0025         1689.0625  alive
    18       12       2130.2704         1734.7810  alive
    18       13       2293.1007         1772.6251  alive
    18       14       2468.3771         1803.2529  alive
    18       15       2657.0510         1827.4875  alive
    18       16       2860.1465         1846.2354  alive
    18       17       3078.7658         1860.4148  alive
    18       18       3314.0957         1870.8987  alive
    19        0        848.3595          828.1608  KNOCKED OUT
    19        1        913.2051          886.4008  KNOCKED OUT
    19        2        983.0072          947.1894  KNOCKED OUT
    19        3       1058.1448         1023.6992  alive
    19        4       1139.0256         1115.6829  alive
    19        5       1226.0886         1207.9039  alive
    19        6       1319.8064         1298.2958  alive
    19        7       1420.6877         1384.9077  alive
    19        8       1529.2800         1466.0336  alive
    19        9       1646.1727         1540.3145  alive
    19       10       1772.0002         1606.8007  alive
    19       11       1907.4456         1664.9752  alive
    19       12       2053.2439         1714.7355  alive
    19       13       2210.1865         1756.3446  alive
    19       14       2379.1253         1790.3580  alive
    19       15       2560.9771         1817.5390  alive
    19       16       2756.7290         1838.7726  alive
    19       17       2967.4435         1854.9877  alive
    19       18       3194.2643         1867.0919  alive
    19       19       3438.4224         1875.9238  alive
    20        0        817.6845          800.2748  KNOCKED OUT
    20        1        880.1853          857.2025  KNOCKED OUT
    20        2        947.4636          916.8207  KNOCKED OUT
    20        3       1019.8843          978.8440  KNOCKED OUT
    20        4       1097.8406         1070.2274  alive
    20        5       1181.7556         1162.8809  alive
    20        6       1272.0848         1254.7149  alive
    20        7       1369.3184         1343.6854  alive
    20        8       1473.9842         1427.9353  alive
    20        9       1586.6502         1505.9128  alive
    20       10       1707.9281         1576.4548  alive
    20       11       1838.4760         1638.8300  alive
    20       12       1979.0025         1692.7399  alive
    20       13       2130.2704         1738.2830  alive
    20       14       2293.1007         1775.8908  alive
    20       15       2468.3771         1806.2458  alive
    20       16       2657.0510         1830.1943  alive
    20       17       2860.1465         1848.6620  alive
    20       18       3078.7658         1862.5813  alive
    20       19       3314.0957         1872.8350  alive
    20       20       3567.4133         1880.2170  alive
    21        0        788.1186          773.0576  KNOCKED OUT
    21        1        848.3595          828.6151  KNOCKED OUT
    21        2        913.2051          886.9797  KNOCKED OUT
    21        3        983.0072          947.9169  KNOCKED OUT
    21        4       1058.1448         1024.7985  alive
    21        5       1139.0256         1117.3708  alive
