DU2076 Bonus Cap Certificate — N=200-Step Binomial Tree
Date      : 2025-09-04
S0        : 1707.93 EUR
K (cap)   : 2000.00 EUR
B (barrier): 1050.00 EUR
sigma     : 0.3898  (38.98% p.a.)
r         : 0.0334  (3.34% p.a.)
T         : 1.7851 years
dt        : 0.008925 years
u         : 1.037515
d         : 0.963842
q (risk-neutral prob): 0.494186
Total nodes: 20,301
======================================================================
  Step  UpMoves      S(n,j) EUR   V_cert(n,j) EUR  Status
    74       19        453.6059          450.8414  KNOCKED OUT
    74       20        488.2779          485.2828  KNOCKED OUT
    74       21        525.6001          522.3376  KNOCKED OUT
    74       22        565.7751          562.1888  KNOCKED OUT
    74       23        609.0209          605.0210  KNOCKED OUT
    74       24        655.5723          651.0136  KNOCKED OUT
    74       25        705.6819          700.3296  KNOCKED OUT
    74       26        759.6217          753.1012  KNOCKED OUT
    74       27        817.6845          809.4103  KNOCKED OUT
    74       28        880.1853          869.2639  KNOCKED OUT
    74       29        947.4636          932.5674  KNOCKED OUT
    74       30       1019.8843          999.0963  KNOCKED OUT
    74       31       1097.8406         1111.3587  alive
    74       32       1181.7556         1224.7362  alive
    74       33       1272.0848         1335.4619  alive
    74       34       1369.3184         1440.0542  alive
    74       35       1473.9842         1535.6350  alive
    74       36       1586.6502         1620.1510  alive
    74       37       1707.9281         1692.4718  alive
    74       38       1838.4760         1752.3660  alive
    74       39       1979.0025         1800.3751  alive
    74       40       2130.2704         1837.6219  alive
    74       41       2293.1007         1865.5902  alive
    74       42       2468.3771         1885.9152  alive
    74       43       2657.0510         1900.2089  alive
    74       44       2860.1465         1909.9352  alive
    74       45       3078.7658         1916.3381  alive
    74       46       3314.0957         1920.4153  alive
    74       47       3567.4133         1922.9259  alive
    74       48       3840.0936         1924.4206  alive
    74       49       4133.6166         1925.2808  alive
    74       50       4449.5755         1925.7591  alive
    74       51       4789.6851         1926.0160  alive
    74       52       5155.7915         1926.1492  alive
    74       53       5549.8817         1926.2159  alive
    74       54       5974.0948         1926.2482  alive
    74       55       6430.7333         1926.2632  alive
    74       56       6922.2755         1926.2699  alive
    74       57       7451.3895         1926.2728  alive
    74       58       8020.9470         1926.2740  alive
    74       59       8634.0395         1926.2745  alive
    74       60       9293.9946         1926.2747  alive
    74       61      10004.3943         1926.2748  alive
    74       62      10769.0944         1926.2748  alive
    74       63      11592.2455         1926.2748  alive
    74       64      12478.3152         1926.2748  alive
    74       65      13432.1130         1926.2748  alive
    74       66      14458.8157         1926.2748  alive
    74       67      15563.9958         1926.2748  alive
    74       68      16753.6520         1926.2748  alive
    74       69      18034.2412         1926.2748  alive
    74       70      19412.7140         1926.2748  alive
    74       71      20896.5525         1926.2748  alive
    74       72      22493.8102         1926.2748  alive
    74       73      24213.1565         1926.2748  alive
    74       74      26063.9236         1926.2748  alive
    75        0        107.8711          107.2232  KNOCKED OUT
    75        1        116.1164          115.4189  KNOCKED OUT
    75        2        124.9919          124.2412  KNOCKED OUT
    75        3        134.5459          133.7377  KNOCKED OUT
    75        4        144.8301          143.9601  KNOCKED OUT
    75        5        155.9004          154.9639  KNOCKED OUT
    75        6        167.8168          166.8088  KNOCKED OUT
    75        7        180.6441          179.5591  KNOCKED OUT
    75        8        194.4519          193.2839  KNOCKED OUT
    75        9        209.3151          208.0579  KNOCKED OUT
    75       10        225.3144          223.9611  KNOCKED OUT
    75       11        242.5367          241.0799  KNOCKED OUT
    75       12        261.0753          259.5071  KNOCKED OUT
    75       13        281.0310          279.3429  KNOCKED OUT
    75       14        302.5120          300.6948  KNOCKED OUT
    75       15        325.6349          323.6786  KNOCKED OUT
    75       16        350.5253          348.4189  KNOCKED OUT
    75       17        377.3182          375.0496  KNOCKED OUT
    75       18        406.1590          403.7143  KNOCKED OUT
    75       19        437.2044          434.5668  KNOCKED OUT
    75       20        470.6227          467.7708  KNOCKED OUT
    75       21        506.5954          503.4996  KNOCKED OUT
    75       22        545.3177          541.9340  KNOCKED OUT
    75       23        586.9999          583.2593  KNOCKED OUT
    75       24        631.8681          627.6597  KNOCKED OUT
    75       25        680.1658          675.3096  KNOCKED OUT
    75       26        732.1552          726.3607  KNOCKED OUT
    75       27        788.1186          780.9253  KNOCKED OUT
    75       28        848.3595          839.0538  KNOCKED OUT
    75       29        913.2051          900.7092  KNOCKED OUT
    75       30        983.0072          965.7379  KNOCKED OUT
    75       31       1058.1448         1055.4442  alive
    75       32       1139.0256         1169.2593  alive
    75       33       1226.0886         1282.2571  alive
    75       34       1319.8064         1390.7242  alive
    75       35       1420.6877         1491.4136  alive
    75       36       1529.2800         1581.8233  alive
    75       37       1646.1727         1660.3579  alive
    75       38       1772.0002         1726.3624  alive
    75       39       1907.4456         1780.0385  alive
    75       40       2053.2439         1822.2763  alive
    75       41       2210.1865         1854.4371  alive
    75       42       2379.1253         1878.1312  alive
    75       43       2560.9771         1895.0202  alive
    75       44       2756.7290         1906.6661  alive
    75       45       2967.4435         1914.4335  alive
    75       46       3194.2643         1919.4437  alive
    75       47       3438.4224         1922.5683  alive
    75       48       3701.2431         1924.4520  alive
    75       49       3984.1529         1925.5495  alive
    75       50       4288.6873         1926.1672  alive
    75       51       4616.4992         1926.5031  alive
    75       52       4969.3679         1926.6793  alive
    75       53       5349.2086         1926.7686  alive
    75       54       5758.0830         1926.8123  alive
    75       55       6198.2103         1926.8328  alive
    75       56       6671.9793         1926.8422  alive
    75       57       7181.9615         1926.8463  alive
    75       58       7730.9249         1926.8480  alive
    75       59       8321.8492         1926.8487  alive
    75       60       8957.9416         1926.8489  alive
    75       61       9642.6546         1926.8490  alive
    75       62      10379.7046         1926.8491  alive
    75       63      11173.0921         1926.8491  alive
    75       64      12027.1232         1926.8491  alive
    75       65      12946.4335         1926.8491  alive
    75       66      13936.0126         1926.8491  alive
    75       67      15001.2315         1926.8491  alive
    75       68      16147.8720         1926.8491  alive
    75       69      17382.1575         1926.8491  alive
    75       70      18710.7874         1926.8491  alive
    75       71      20140.9731         1926.8491  alive
    75       72      21680.4770         1926.8491  alive
    75       73      23337.6551         1926.8491  alive
    75       74      25121.5020         1926.8491  alive
    75       75      27041.6997         1926.8491  alive
    76        0        103.9707          103.3512  KNOCKED OUT
    76        1        111.9179          111.2510  KNOCKED OUT
    76        2        120.4725          119.7546  KNOCKED OUT
    76        3        129.6809          128.9082  KNOCKED OUT
    76        4        139.5933          138.7615  KNOCKED OUT
    76        5        150.2633          149.3679  KNOCKED OUT
    76        6        161.7489          160.7851  KNOCKED OUT
    76        7        174.1124          173.0749  KNOCKED OUT
    76        8        187.4209          186.3041  KNOCKED OUT
    76        9        201.7467          200.5446  KNOCKED OUT
    76       10        217.1675          215.8735  KNOCKED OUT
    76       11        233.7670          232.3741  KNOCKED OUT
    76       12        251.6353          250.1359  KNOCKED OUT
    76       13        270.8694          269.2554  KNOCKED OUT
    76       14        291.5737          289.8363  KNOCKED OUT
    76       15        313.8606          311.9902  KNOCKED OUT
    76       16        337.8509          335.8373  KNOCKED OUT
    76       17        363.6751          361.5068  KNOCKED OUT
    76       18        391.4731          389.1373  KNOCKED OUT
    76       19        421.3959          418.8778  KNOCKED OUT
    76       20        453.6059          450.8871  KNOCKED OUT
    76       21        488.2779          485.3340  KNOCKED OUT
    76       22        525.6001          522.3964  KNOCKED OUT
    76       23        565.7751          562.2583  KNOCKED OUT
    76       24        609.0209          605.1064  KNOCKED OUT
    76       25        655.5723          651.1224  KNOCKED OUT
    76       26        705.6819          700.4732  KNOCKED OUT
    76       27        759.6217          753.2955  KNOCKED OUT
    76       28        817.6845          809.6763  KNOCKED OUT
    76       29        880.1853          869.6287  KNOCKED OUT
    76       30        947.4636          933.0642  KNOCKED OUT
    76       31       1019.8843          999.7629  KNOCKED OUT
    76       32       1097.8406         1113.0722  alive
    76       33       1181.7556         1227.4738  alive
    76       34       1272.0848         1339.1030  alive
    76       35       1369.3184         1444.3989  alive
    76       36       1473.9842         1540.4342  alive
    76       37       1586.6502         1625.1405  alive
    76       38       1707.9281         1697.4056  alive
    76       39       1838.4760         1757.0419  alive
    76       40       1979.0025         1804.6502  alive
    76       41       2130.2704         1841.4165  alive
    76       42       2293.1007         1868.8828  alive
    76       43       2468.3771         1888.7302  alive
    76       44       2657.0510         1902.6014  alive
    76       45       2860.1465         1911.9766  alive
    76       46       3078.7658         1918.1032  alive
    76       47       3314.0957         1921.9736  alive
    76       48       3567.4133         1924.3368  alive
    76       49       3840.0936         1925.7309  alive
    76       50       4133.6166         1926.5254  alive
    76       51       4449.5755         1926.9626  alive
    76       52       4789.6851         1927.1949  alive
    76       53       5155.7915         1927.3140  alive
    76       54       5549.8817         1927.3728  alive
    76       55       5974.0948         1927.4009  alive
    76       56       6430.7333         1927.4138  alive
    76       57       6922.2755         1927.4195  alive
    76       58       7451.3895         1927.4219  alive
    76       59       8020.9470         1927.4229  alive
    76       60       8634.0395         1927.4233  alive
    76       61       9293.9946         1927.4235  alive
    76       62      10004.3943         1927.4235  alive
    76       63      10769.0944         1927.4236  alive
    76       64      11592.2455         1927.4236  alive
    76       65      12478.3152         1927.4236  alive
    76       66      13432.1130         1927.4236  alive
    76       67      14458.8157         1927.4236  alive
    76       68      15563.9958         1927.4236  alive
    76       69      16753.6520         1927.4236  alive
    76       70      18034.2412         1927.4236  alive
    76       71      19412.7140         1927.4236  alive
    76       72      20896.5525         1927.4236  alive
    76       73      22493.8102         1927.4236  alive
    76       74      24213.1565         1927.4236  alive
    76       75      26063.9236         1927.4236  alive
    76       76      28056.1566         1927.4236  alive
    77        0        100.2113           99.6190  KNOCKED OUT
    77        1        107.8711          107.2335  KNOCKED OUT
    77        2        116.1164          115.4301  KNOCKED OUT
    77        3        124.9919          124.2531  KNOCKED OUT
    77        4        134.5459          133.7506  KNOCKED OUT
    77        5        144.8301          143.9740  KNOCKED OUT
    77        6        155.9004          154.9789  KNOCKED OUT
    77        7        167.8168          166.8249  KNOCKED OUT
    77        8        180.6441          179.5764  KNOCKED OUT
    77        9        194.4519          193.3026  KNOCKED OUT
    77       10        209.3151          208.0779  KNOCKED OUT
    77       11        225.3144          223.9827  KNOCKED OUT
    77       12        242.5367          241.1031  KNOCKED OUT
    77       13        261.0753          259.5321  KNOCKED OUT
    77       14        281.0310          279.3698  KNOCKED OUT
    77       15        302.5120          300.7238  KNOCKED OUT
    77       16        325.6349          323.7099  KNOCKED OUT
    77       17        350.5253          348.4527  KNOCKED OUT
    77       18        377.3182          375.0861  KNOCKED OUT
    77       19        406.1590          403.7540  KNOCKED OUT
    77       20        437.2044          434.6102  KNOCKED OUT
    77       21        470.6227          467.8189  KNOCKED OUT
    77       22        506.5954          503.5540  KNOCKED OUT
    77       23        545.3177          541.9972  KNOCKED OUT
    77       24        586.9999          583.3353  KNOCKED OUT
    77       25        631.8681          627.7547  KNOCKED OUT
    77       26        680.1658          675.4328  KNOCKED OUT
    77       27        732.1552          726.5254  KNOCKED OUT
    77       28        788.1186          781.1498  KNOCKED OUT
    77       29        848.3595          839.3623  KNOCKED OUT
    77       30        913.2051          901.1319  KNOCKED OUT
    77       31        983.0072          966.3107  KNOCKED OUT
    77       32       1058.1448         1056.6336  alive
    77       33       1139.0256         1171.5103  alive
    77       34       1226.0886         1285.4944  alive
    77       35       1319.8064         1394.7807  alive
    77       36       1420.6877         1496.0559  alive
    77       37       1529.2800         1586.7858  alive
    77       38       1646.1727         1665.3780  alive
    77       39       1772.0002         1731.2108  alive
    77       40       1907.4456         1784.5407  alive
    77       41       2053.2439         1826.3215  alive
    77       42       2210.1865         1857.9775  alive
    77       43       2379.1253         1881.1721  alive
    77       44       2560.9771         1897.6055  alive
    77       45       2756.7290         1908.8627  alive
    77       46       2967.4435         1916.3172  alive
    77       47       3194.2643         1921.0884  alive
    77       48       3438.4224         1924.0392  alive
    77       49       3701.2431         1925.8023  alive
    77       50       3984.1529         1926.8197  alive
    77       51       4288.6873         1927.3865  alive
    77       52       4616.4992         1927.6913  alive
    77       53       4969.3679         1927.8495  alive
    77       54       5349.2086         1927.9286  alive
    77       55       5758.0830         1927.9668  alive
    77       56       6198.2103         1927.9845  alive
    77       57       6671.9793         1927.9924  alive
    77       58       7181.9615         1927.9959  alive
    77       59       7730.9249         1927.9973  alive
    77       60       8321.8492         1927.9979  alive
    77       61       8957.9416         1927.9981  alive
    77       62       9642.6546         1927.9982  alive
    77       63      10379.7046         1927.9982  alive
    77       64      11173.0921         1927.9982  alive
    77       65      12027.1232         1927.9982  alive
    77       66      12946.4335         1927.9982  alive
    77       67      13936.0126         1927.9982  alive
    77       68      15001.2315         1927.9982  alive
    77       69      16147.8720         1927.9982  alive
    77       70      17382.1575         1927.9982  alive
    77       71      18710.7874         1927.9982  alive
    77       72      20140.9731         1927.9982  alive
    77       73      21680.4770         1927.9982  alive
    77       74      23337.6551         1927.9982  alive
    77       75      25121.5020         1927.9982  alive
    77       76      27041.6997         1927.9982  alive
    77       77      29108.6705         1927.9982  alive
    78        0         96.5879           96.0216  KNOCKED OUT
    78        1        103.9707          103.3611  KNOCKED OUT
    78        2        111.9179          111.2617  KNOCKED OUT
    78        3        120.4725          119.7661  KNOCKED OUT
    78        4        129.6809          128.9206  KNOCKED OUT
    78        5        139.5933          138.7749  KNOCKED OUT
    78        6        150.2633          149.3823  KNOCKED OUT
    78        7        161.7489          160.8006  KNOCKED OUT
    78        8        174.1124          173.0916  KNOCKED OUT
    78        9        187.4209          186.3221  KNOCKED OUT
    78       10        201.7467          200.5639  KNOCKED OUT
    78       11        217.1675          215.8943  KNOCKED OUT
    78       12        233.7670          232.3965  KNOCKED OUT
    78       13        251.6353          250.1600  KNOCKED OUT
    78       14        270.8694          269.2813  KNOCKED OUT
    78       15        291.5737          289.8642  KNOCKED OUT
    78       16        313.8606          312.0203  KNOCKED OUT
    78       17        337.8509          335.8698  KNOCKED OUT
    78       18        363.6751          361.5418  KNOCKED OUT
    78       19        391.4731          389.1753  KNOCKED OUT
    78       20        421.3959          418.9192  KNOCKED OUT
    78       21        453.6059          450.9326  KNOCKED OUT
    78       22        488.2779          485.3848  KNOCKED OUT
    78       23        525.6001          522.4544  KNOCKED OUT
    78       24        565.7751          562.3267  KNOCKED OUT
    78       25        609.0209          605.1901  KNOCKED OUT
    78       26        655.5723          651.2289  KNOCKED OUT
    78       27        705.6819          700.6135  KNOCKED OUT
    78       28        759.6217          753.4852  KNOCKED OUT
    78       29        817.6845          809.9366  KNOCKED OUT
    78       30        880.1853          869.9868  KNOCKED OUT
    78       31        947.4636          933.5534  KNOCKED OUT
    78       32       1019.8843         1000.4217  KNOCKED OUT
    78       33       1097.8406         1114.8054  alive
    78       34       1181.7556         1230.2562  alive
    78       35       1272.0848         1342.8079  alive
    78       36       1369.3184         1448.8177  alive
    78       37       1473.9842         1545.3081  alive
    78       38       1586.6502         1630.1968  alive
    78       39       1707.9281         1702.3917  alive
    78       40       1838.4760         1761.7523  alive
    78       41       1979.0025         1808.9418  alive
    78       42       2130.2704         1845.2119  alive
    78       43       2293.1007         1872.1644  alive
    78       44       2468.3771         1891.5266  alive
    78       45       2657.0510         1904.9722  alive
    78       46       2860.1465         1913.9963  alive
    78       47       3078.7658         1919.8489  alive
    78       48       3314.0957         1923.5160  alive
    78       49       3567.4133         1925.7354  alive
    78       50       3840.0936         1927.0325  alive
    78       51       4133.6166         1927.7642  alive
    78       52       4449.5755         1928.1626  alive
    78       53       4789.6851         1928.3719  alive
    78       54       5155.7915         1928.4778  alive
    78       55       5549.8817         1928.5295  alive
    78       56       5974.0948         1928.5539  alive
    78       57       6430.7333         1928.5649  alive
    78       58       6922.2755         1928.5697  alive
    78       59       7451.3895         1928.5717  alive
    78       60       8020.9470         1928.5725  alive
    78       61       8634.0395         1928.5728  alive
    78       62       9293.9946         1928.5729  alive
    78       63      10004.3943         1928.5730  alive
    78       64      10769.0944         1928.5730  alive
    78       65      11592.2455         1928.5730  alive
    78       66      12478.3152         1928.5730  alive
    78       67      13432.1130         1928.5730  alive
    78       68      14458.8157         1928.5730  alive
    78       69      15563.9958         1928.5730  alive
    78       70      16753.6520         1928.5730  alive
    78       71      18034.2412         1928.5730  alive
    78       72      19412.7140         1928.5730  alive
    78       73      20896.5525         1928.5730  alive
    78       74      22493.8102         1928.5730  alive
    78       75      24213.1565         1928.5730  alive
    78       76      26063.9236         1928.5730  alive
    78       77      28056.1566         1928.5730  alive
    78       78      30200.6689         1928.5730  alive
    79        0         93.0954           92.5541  KNOCKED OUT
    79        1        100.2113           99.6286  KNOCKED OUT
    79        2        107.8711          107.2439  KNOCKED OUT
    79        3        116.1164          115.4412  KNOCKED OUT
    79        4        124.9919          124.2651  KNOCKED OUT
    79        5        134.5459          133.7635  KNOCKED OUT
    79        6        144.8301          143.9879  KNOCKED OUT
    79        7        155.9004          154.9938  KNOCKED OUT
    79        8        167.8168          166.8410  KNOCKED OUT
    79        9        180.6441          179.5937  KNOCKED OUT
    79       10        194.4519          193.3212  KNOCKED OUT
    79       11        209.3151          208.0980  KNOCKED OUT
    79       12        225.3144          224.0043  KNOCKED OUT
    79       13        242.5367          241.1263  KNOCKED OUT
    79       14        261.0753          259.5572  KNOCKED OUT
    79       15        281.0310          279.3968  KNOCKED OUT
    79       16        302.5120          300.7528  KNOCKED OUT
    79       17        325.6349          323.7411  KNOCKED OUT
    79       18        350.5253          348.4864  KNOCKED OUT
    79       19        377.3182          375.1225  KNOCKED OUT
    79       20        406.1590          403.7935  KNOCKED OUT
    79       21        437.2044          434.6534  KNOCKED OUT
    79       22        470.6227          467.8668  KNOCKED OUT
    79       23        506.5954          503.6079  KNOCKED OUT
    79       24        545.3177          542.0596  KNOCKED OUT
    79       25        586.9999          583.4100  KNOCKED OUT
    79       26        631.8681          627.8477  KNOCKED OUT
    79       27        680.1658          675.5531  KNOCKED OUT
    79       28        732.1552          726.6862  KNOCKED OUT
    79       29        788.1186          781.3693  KNOCKED OUT
    79       30        848.3595          839.6646  KNOCKED OUT
    79       31        913.2051          901.5473  KNOCKED OUT
    79       32        983.0072          966.8757  KNOCKED OUT
    79       33       1058.1448         1057.8290  alive
    79       34       1139.0256         1173.7948  alive
    79       35       1226.0886         1288.7882  alive
    79       36       1319.8064         1398.9086  alive
    79       37       1420.6877         1500.7751  alive
    79       38       1529.2800         1591.8211  alive
    79       39       1646.1727         1670.4588  alive
    79       40       1772.0002         1736.1030  alive
    79       41       1907.4456         1789.0679  alive
    79       42       2053.2439         1830.3745  alive
    79       43       2210.1865         1861.5117  alive
    79       44       2379.1253         1884.1971  alive
    79       45       2560.9771         1900.1698  alive
    79       46       2756.7290         1911.0369  alive
    79       47       2967.4435         1918.1800  alive
    79       48       3194.2643         1922.7152  alive
    79       49       3438.4224         1925.4961  alive
    79       50       3701.2431         1927.1422  alive
    79       51       3984.1529         1928.0827  alive
    79       52       4288.6873         1928.6012  alive
    79       53       4616.4992         1928.8769  alive
    79       54       4969.3679         1929.0183  alive
    79       55       5349.2086         1929.0881  alive
    79       56       5758.0830         1929.1213  alive
    79       57       6198.2103         1929.1365  alive
    79       58       6671.9793         1929.1432  alive
    79       59       7181.9615         1929.1461  alive
    79       60       7730.9249         1929.1472  alive
    79       61       8321.8492         1929.1477  alive
    79       62       8957.9416         1929.1479  alive
    79       63       9642.6546         1929.1479  alive
    79       64      10379.7046         1929.1480  alive
    79       65      11173.0921         1929.1480  alive
    79       66      12027.1232         1929.1480  alive
    79       67      12946.4335         1929.1480  alive
    79       68      13936.0126         1929.1480  alive
    79       69      15001.2315         1929.1480  alive
    79       70      16147.8720         1929.1480  alive
    79       71      17382.1575         1929.1480  alive
    79       72      18710.7874         1929.1480  alive
    79       73      20140.9731         1929.1480  alive
    79       74      21680.4770         1929.1480  alive
    79       75      23337.6551         1929.1480  alive
    79       76      25121.5020         1929.1480  alive
    79       77      27041.6997         1929.1480  alive
    79       78      29108.6705         1929.1480  alive
    79       79      31333.6331         1929.1480  alive
    80        0         89.7293           89.2118  KNOCKED OUT
    80        1         96.5879           96.0309  KNOCKED OUT
    80        2        103.9707          103.3711  KNOCKED OUT
    80        3        111.9179          111.2724  KNOCKED OUT
    80        4        120.4725          119.7777  KNOCKED OUT
    80        5        129.6809          128.9331  KNOCKED OUT
    80        6        139.5933          138.7883  KNOCKED OUT
    80        7        150.2633          149.3967  KNOCKED OUT
    80        8        161.7489          160.8161  KNOCKED OUT
    80        9        174.1124          173.1083  KNOCKED OUT
    80       10        187.4209          186.3401  KNOCKED OUT
    80       11        201.7467          200.5832  KNOCKED OUT
    80       12        217.1675          215.9151  KNOCKED OUT
    80       13        233.7670          232.4189  KNOCKED OUT
    80       14        251.6353          250.1841  KNOCKED OUT
    80       15        270.8694          269.3073  KNOCKED OUT
    80       16        291.5737          289.8922  KNOCKED OUT
    80       17        313.8606          312.0504  KNOCKED OUT
    80       18        337.8509          335.9022  KNOCKED OUT
    80       19        363.6751          361.5769  KNOCKED OUT
    80       20        391.4731          389.2132  KNOCKED OUT
    80       21        421.3959          418.9604  KNOCKED OUT
    80       22        453.6059          450.9779  KNOCKED OUT
    80       23        488.2779          485.4353  KNOCKED OUT
    80       24        525.6001          522.5119  KNOCKED OUT
    80       25        565.7751          562.3942  KNOCKED OUT
    80       26        609.0209          605.2722  KNOCKED OUT
    80       27        655.5723          651.3331  KNOCKED OUT
    80       28        705.6819          700.7506  KNOCKED OUT
    80       29        759.6217          753.6705  KNOCKED OUT
    80       30        817.6845          810.1912  KNOCKED OUT
    80       31        880.1853          870.3380  KNOCKED OUT
    80       32        947.4636          934.0348  KNOCKED OUT
    80       33       1019.8843         1001.0725  KNOCKED OUT
    80       34       1097.8406         1116.5591  alive
    80       35       1181.7556         1233.0853  alive
    80       36       1272.0848         1346.5791  alive
    80       37       1369.3184         1453.3133  alive
    80       38       1473.9842         1550.2591  alive
    80       39       1586.6502         1635.3213  alive
    80       40       1707.9281         1707.4308  alive
    80       41       1838.4760         1766.4971  alive
    80       42       1979.0025         1813.2491  alive
    80       43       2130.2704         1849.0070  alive
    80       44       2293.1007         1875.4336  alive
    80       45       2468.3771         1894.3035  alive
    80       46       2657.0510         1907.3204  alive
    80       47       2860.1465         1915.9937  alive
    80       48       3078.7658         1921.5748  alive
    80       49       3314.0957         1925.0424  alive
    80       50       3567.4133         1927.1220  alive
    80       51       3840.0936         1928.3255  alive
    80       52       4133.6166         1928.9974  alive
    80       53       4449.5755         1929.3592  alive
    80       54       4789.6851         1929.5470  alive
    80       55       5155.7915         1929.6409  alive
    80       56       5549.8817         1929.6861  alive
    80       57       5974.0948         1929.7070  alive
    80       58       6430.7333         1929.7164  alive
    80       59       6922.2755         1929.7204  alive
    80       60       7451.3895         1929.7221  alive
    80       61       8020.9470         1929.7227  alive
    80       62       8634.0395         1929.7230  alive
    80       63       9293.9946         1929.7231  alive
    80       64      10004.3943         1929.7231  alive
    80       65      10769.0944         1929.7231  alive
    80       66      11592.2455         1929.7231  alive
    80       67      12478.3152         1929.7231  alive
    80       68      13432.1130         1929.7231  alive
    80       69      14458.8157         1929.7231  alive
    80       70      15563.9958         1929.7231  alive
    80       71      16753.6520         1929.7231  alive
    80       72      18034.2412         1929.7231  alive
    80       73      19412.7140         1929.7231  alive
    80       74      20896.5525         1929.7231  alive
    80       75      22493.8102         1929.7231  alive
    80       76      24213.1565         1929.7231  alive
    80       77      26063.9236         1929.7231  alive
    80       78      28056.1566         1929.7231  alive
    80       79      30200.6689         1929.7231  alive
    80       80      32509.0999         1929.7231  alive
    81        0         86.4848           85.9902  KNOCKED OUT
    81        1         93.0954           92.5630  KNOCKED OUT
    81        2        100.2113           99.6382  KNOCKED OUT
    81        3        107.8711          107.2542  KNOCKED OUT
    81        4        116.1164          115.4523  KNOCKED OUT
    81        5        124.9919          124.2771  KNOCKED OUT
    81        6        134.5459          133.7764  KNOCKED OUT
    81        7        144.8301          144.0018  KNOCKED OUT
    81        8        155.9004          155.0088  KNOCKED OUT
    81        9        167.8168          166.8571  KNOCKED OUT
    81       10        180.6441          179.6110  KNOCKED OUT
    81       11        194.4519          193.3398  KNOCKED OUT
    81       12        209.3151          208.1181  KNOCKED OUT
    81       13        225.3144          224.0259  KNOCKED OUT
    81       14        242.5367          241.1496  KNOCKED OUT
    81       15        261.0753          259.5822  KNOCKED OUT
    81       16        281.0310          279.4237  KNOCKED OUT
    81       17        302.5120          300.7818  KNOCKED OUT
    81       18        325.6349          323.7724  KNOCKED OUT
    81       19        350.5253          348.5201  KNOCKED OUT
    81       20        377.3182          375.1590  KNOCKED OUT
    81       21        406.1590          403.8330  KNOCKED OUT
    81       22        437.2044          434.6965  KNOCKED OUT
    81       23        470.6227          467.9143  KNOCKED OUT
    81       24        506.5954          503.6613  KNOCKED OUT
    81       25        545.3177          542.1212  KNOCKED OUT
    81       26        586.9999          583.4834  KNOCKED OUT
    81       27        631.8681          627.9388  KNOCKED OUT
    81       28        680.1658          675.6707  KNOCKED OUT
    81       29        732.1552          726.8432  KNOCKED OUT
    81       30        788.1186          781.5837  KNOCKED OUT
    81       31        848.3595          839.9605  KNOCKED OUT
    81       32        913.2051          901.9553  KNOCKED OUT
    81       33        983.0072          967.4326  KNOCKED OUT
    81       34       1058.1448         1059.0310  alive
    81       35       1139.0256         1176.1143  alive
    81       36       1226.0886         1292.1406  alive
    81       37       1319.8064         1403.1108  alive
    81       38       1420.6877         1505.5738  alive
    81       39       1529.2800         1596.9310  alive
    81       40       1646.1727         1675.6014  alive
    81       41       1772.0002         1741.0392  alive
    81       42       1907.4456         1793.6198  alive
    81       43       2053.2439         1834.4341  alive
    81       44       2210.1865         1865.0383  alive
    81       45       2379.1253         1887.2049  alive
    81       46       2560.9771         1902.7119  alive
    81       47       2756.7290         1913.1880  alive
    81       48       2967.4435         1920.0213  alive
    81       49       3194.2643         1924.3241  alive
    81       50       3438.4224         1926.9389  alive
    81       51       3701.2431         1928.4720  alive
    81       52       3984.1529         1929.3389  alive
    81       53       4288.6873         1929.8116  alive
    81       54       4616.4992         1930.0601  alive
    81       55       4969.3679         1930.1858  alive
    81       56       5349.2086         1930.2472  alive
    81       57       5758.0830         1930.2759  alive
    81       58       6198.2103         1930.2889  alive
    81       59       6671.9793         1930.2946  alive
    81       60       7181.9615         1930.2969  alive
    81       61       7730.9249         1930.2979  alive
    81       62       8321.8492         1930.2982  alive
    81       63       8957.9416         1930.2984  alive
    81       64       9642.6546         1930.2984  alive
    81       65      10379.7046         1930.2984  alive
    81       66      11173.0921         1930.2984  alive
    81       67      12027.1232         1930.2984  alive
    81       68      12946.4335         1930.2984  alive
    81       69      13936.0126         1930.2984  alive
    81       70      15001.2315         1930.2984  alive
    81       71      16147.8720         1930.2984  alive
    81       72      17382.1575         1930.2984  alive
    81       73      18710.7874         1930.2984  alive
    81       74      20140.9731         1930.2984  alive
    81       75      21680.4770         1930.2984  alive
    81       76      23337.6551         1930.2984  alive
    81       77      25121.5020         1930.2984  alive
    81       78      27041.6997         1930.2984  alive
    81       79      29108.6705         1930.2984  alive
    81       80      31333.6331         1930.2984  alive
    81       81      33728.6639         1930.2984  alive
    82        0         83.3577           82.8850  KNOCKED OUT
    82        1         89.7293           89.2204  KNOCKED OUT
    82        2         96.5879           96.0401  KNOCKED OUT
    82        3        103.9707          103.3811  KNOCKED OUT
    82        4        111.9179          111.2832  KNOCKED OUT
    82        5        120.4725          119.7892  KNOCKED OUT
    82        6        129.6809          128.9455  KNOCKED OUT
    82        7        139.5933          138.8016  KNOCKED OUT
    82        8        150.2633          149.4111  KNOCKED OUT
    82        9        161.7489          160.8316  KNOCKED OUT
    82       10        174.1124          173.1250  KNOCKED OUT
    82       11        187.4209          186.3580  KNOCKED OUT
    82       12        201.7467          200.6026  KNOCKED OUT
    82       13        217.1675          215.9359  KNOCKED OUT
