Date,Close
2023-01-02,188.76707458496094
2023-01-03,192.16958618164062
2023-01-04,190.73190307617188
2023-01-05,193.703125
2023-01-06,200.69979858398438
2023-01-09,204.1502227783203
2023-01-10,202.80841064453125
2023-01-11,199.54966735839844
2023-01-12,204.1502227783203
2023-01-13,201.37074279785156
2023-01-16,206.92974853515625
2023-01-17,212.10540771484375
2023-01-18,211.7220001220703
2023-01-19,213.92645263671875
2023-01-20,214.6931915283203
2023-01-23,213.15968322753906
2023-01-24,213.8306121826172
2023-01-25,211.7220001220703
2023-01-26,218.04779052734375
2023-01-27,218.71868896484375
2023-01-30,217.76023864746094
2023-01-31,205.10867309570312
2023-02-01,210.28431701660156
2023-02-02,216.610107421875
2023-02-03,218.04779052734375
2023-02-06,217.08934020996094
2023-02-07,216.3225555419922
2023-02-08,216.22674560546875
2023-02-09,216.4184112548828
2023-02-10,222.07327270507812
2023-02-13,224.85279846191406
2023-02-14,226.86553955078125
2023-02-15,230.6993408203125
2023-02-16,237.79188537597656
2023-02-17,239.2295684814453
2023-02-20,238.6544952392578
2023-02-21,246.51380920410156
2023-02-22,236.45005798339844
2023-02-23,235.2040557861328
2023-02-24,234.72482299804688
2023-02-27,233.76638793945312
2023-02-28,230.603515625
2023-03-01,235.9708251953125
2023-03-02,236.2583770751953
2023-03-03,238.2711181640625
2023-03-06,246.51380920410156
2023-03-07,244.98028564453125
2023-03-08,247.28054809570312
2023-03-09,246.32211303710938
2023-03-10,242.77584838867188
2023-03-13,236.06668090820312
2023-03-14,246.9930419921875
2023-03-15,234.5331573486328
2023-03-16,236.7375946044922
2023-03-17,227.24891662597656
2023-03-20,239.51710510253906
2023-03-21,246.41796875
2023-03-22,245.26780700683594
2023-03-23,250.25177001953125
2023-03-24,252.0728302001953
2023-03-27,260.3155212402344
2023-03-28,262.0407409667969
2023-03-29,261.0822448730469
2023-03-30,260.411376953125
2023-03-31,262.2324523925781
2023-04-03,264.2452087402344
2023-04-04,266.4496154785156
2023-04-05,247.47227478027344
2023-04-06,248.5265350341797
2023-04-11,249.1016082763672
2023-04-12,252.1686553955078
2023-04-13,254.37313842773438
2023-04-14,256.09832763671875
2023-04-17,255.90663146972656
2023-04-18,258.6861267089844
2023-04-19,258.9736633300781
2023-04-20,259.16534423828125
2023-04-21,259.452880859375
2023-04-24,262.51995849609375
2023-04-25,265.58697509765625
2023-04-26,251.88113403320312
2023-04-27,256.2900085449219
2023-04-28,254.4689483642578
2023-05-02,254.5648193359375
2023-05-03,257.2484436035156
2023-05-04,250.82684326171875
2023-05-05,255.33154296875
2023-05-08,253.9897003173828
